===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2022-08-06 01:12:43
count workspace : /Users/furkanacar/AndroidStudioProjects/hal_app/lib
total files : 130
total code lines : 12788
total comment lines : 1464
total blank lines : 1330

cat.dart, code is 200, comment is 19, blank is 18.
feature/home/sub/bildirim_page/sub/tuccar_hal_ici_disi/viewmodel/cubit/tuccar_hal_ici_disi_main_cubit.dart, code is 32, comment is 2, blank is 5.
feature/home/sub/bildirim_page/sub/tuccar_hal_ici_disi/viewmodel/cubit/tuccar_hal_ici_disi_main_state.dart, code is 10, comment is 0, blank is 5.
feature/home/sub/saved_notifications/view/saved_notifications_page.dart, code is 176, comment is 15, blank is 13.
feature/home/view/home_view.dart, code is 112, comment is 188, blank is 10.
feature/home/view/my_tab_bar.dart, code is 41, comment is 0, blank is 5.
feature/home/viewmodel/cubit/home_cubit.dart, code is 17, comment is 1, blank is 4.
feature/home/viewmodel/cubit/home_state.dart, code is 4, comment is 0, blank is 2.
feature/launch/view/launch_view.dart, code is 157, comment is 18, blank is 25.
feature/manage_tc/view/manage_tc_page.dart, code is 300, comment is 13, blank is 23.
feature/manage_tc/viewmodel/cubit/manage_tc_cubit.dart, code is 21, comment is 0, blank is 5.
feature/manage_tc/viewmodel/cubit/manage_tc_state.dart, code is 9, comment is 0, blank is 4.
feature/subscriptions/view/subscriptions_page.dart, code is 245, comment is 4, blank is 10.
feature/subscriptions/viewmodel/cubit/subscriptions_cubit.dart, code is 262, comment is 21, blank is 39.
feature/subscriptions/viewmodel/cubit/subscriptions_state.dart, code is 10, comment is 0, blank is 3.
firebase_options.dart, code is 64, comment is 12, blank is 7.
generated_plugin_registrant.dart, code is 18, comment is 7, blank is 4.
main.dart, code is 132, comment is 0, blank is 4.
project/cache/app_cache_manager.dart, code is 46, comment is 6, blank is 14.
project/cache/bildirim_cache_manager.dart, code is 71, comment is 3, blank is 16.
project/cache/bildirim_list_cache_manager.dart, code is 122, comment is 16, blank is 19.
project/cache/bildirimci_cache_manager.dart, code is 52, comment is 3, blank is 10.
project/cache/uretici_list_cache_manager.dart, code is 71, comment is 6, blank is 16.
project/cache/user_cache_manager.dart, code is 43, comment is 3, blank is 10.
project/model/bildirim/bildirim_model.dart, code is 91, comment is 1, blank is 6.
project/model/bildirim/bildirim_model.g.dart, code is 116, comment is 7, blank is 10.
project/model/bildirim_kayit_response_model.dart/bildirim_kayit_response_model.dart, code is 26, comment is 0, blank is 3.
project/model/bildirim_kayit_response_model.dart/bildirim_kayit_response_model.g.dart, code is 14, comment is 4, blank is 4.
project/model/bildirimci/bildirimci_model.dart, code is 49, comment is 0, blank is 4.
project/model/bildirimci/bildirimci_model.g.dart, code is 102, comment is 7, blank is 10.
project/model/hal_base_response_model.dart/hal_base_response_model.dart, code is 3, comment is 0, blank is 1.
project/model/hal_ici_isyeri/hal_ici_isyeri_model.dart, code is 24, comment is 0, blank is 2.
project/model/hal_ici_isyeri/hal_ici_isyeri_model.g.dart, code is 16, comment is 4, blank is 4.
project/model/hks_bildirim_model/hks_bildirim_model.dart, code is 61, comment is 7, blank is 4.
project/model/hks_bildirim_model/hks_bildirim_model.g.dart, code is 60, comment is 4, blank is 4.
project/model/hks_user/hks_user.dart, code is 9, comment is 0, blank is 1.
project/model/referans_kunye/referans_kunye_model.dart, code is 97, comment is 2, blank is 5.
project/model/referans_kunye/referans_kunye_model.g.dart, code is 51, comment is 4, blank is 4.
project/model/subscription/subscription_model.dart, code is 24, comment is 8, blank is 11.
project/model/subscription/subscription_model.g.dart, code is 13, comment is 4, blank is 4.
project/model/uretici_model/uretici_model.dart, code is 45, comment is 0, blank is 5.
project/model/uretici_model/uretici_model.g.dart, code is 25, comment is 4, blank is 4.
project/model/urun/urun.dart, code is 19, comment is 1, blank is 1.
project/model/user/my_user_model.dart, code is 38, comment is 3, blank is 7.
project/model/user/my_user_model.g.dart, code is 67, comment is 7, blank is 10.
project/network_manager.dart/network_change_manager.dart, code is 49, comment is 0, blank is 10.
project/provider/context_provider.dart, code is 0, comment is 0, blank is 0.
project/response/a, code is 0, comment is 0, blank is 0.
project/response/bildirim kayit response, code is 5, comment is 0, blank is 5.
project/service/firebase/auth/base/auth_base.dart, code is 13, comment is 0, blank is 2.
project/service/firebase/auth/fireabase_auth_service.dart, code is 55, comment is 0, blank is 11.
project/service/firebase/firestore/base/store_base.dart, code is 6, comment is 0, blank is 2.
project/service/firebase/firestore/firestore_service.dart, code is 128, comment is 102, blank is 15.
project/service/hal/bildirim_service.dart, code is 230, comment is 2, blank is 41.
project/service/hal/genel_service.dart, code is 185, comment is 2, blank is 20.
